"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"206666_at",1.66534416851442,5.59765985815603,2.21082524187663,0.0286824645095133,0.0468085912205785,-5.0010629769332
"225136_at",-0.541512660753877,9.83426602836879,-2.21076793725145,0.0286865265551985,0.0468126629402078,-5.00118578603199
"203579_s_at",0.575703059866965,5.52067936170213,2.21043516134164,0.0287101253167473,0.0468486138410002,-5.00189889688202
"227025_at",0.391638669623059,6.18887638297872,2.20990777355944,0.0287475595652171,0.0469071360548246,-5.00302883975548
"223590_at",0.507414523281596,7.74301382978723,2.20903415426366,0.0288096629744247,0.0470059021265491,-5.00490004036782
"201289_at",0.889514323725058,11.1851834042553,2.20877617320226,0.0288280245189855,0.0470332919964858,-5.00545247679123
"226546_at",-0.608548203991132,6.49118439716312,-2.2085030590285,0.028847474244952,0.0470600507024324,-5.0060372534916
"222759_at",0.679170354767181,7.26113553191489,2.20850162561151,0.0288475763553357,0.0470600507024324,-5.00604032246562
"206993_at",0.466070266075389,3.74777226950355,2.20841281124263,0.0288539037177504,0.0470678024223425,-5.00623047215888
"213159_at",0.469099113082039,4.72415680851064,2.20832472347857,0.0288601805079134,0.0470742529832074,-5.00641905916713
"228065_at",0.40054201773836,6.40400028368794,2.20831308764632,0.0288610097207326,0.0470742529832074,-5.0064439697849
"218812_s_at",0.418414611973393,4.22620312056738,2.20812642619286,0.0288743147467023,0.0470893674767971,-5.00684356797868
"225974_at",1.02988824833703,8.75663021276596,2.2081242689973,0.0288744685404561,0.0470893674767971,-5.00684818584214
"226960_at",1.61085124168514,4.46996595744681,2.20811674013874,0.028875005303785,0.0470893674767971,-5.00686430267933
"228388_at",-0.374578270509976,5.11361872340426,-2.20801232893445,0.0288824501037355,0.0470989372754458,-5.00708780782512
"219528_s_at",1.04165192904656,4.41803070921986,2.20779283220938,0.0288981062579911,0.0471218956465594,-5.007557635698
"219888_at",1.08591212860311,4.19051177304965,2.20775345867153,0.0289009154553389,0.0471239041208089,-5.00764190927804
"202598_at",-0.617228935698448,10.0900192198582,-2.20771492719859,0.0289036648036526,0.0471258147953015,-5.00772437917918
"212877_at",0.61536379157428,6.19805333333333,2.20765820267036,0.0289077127009152,0.0471298423573891,-5.00784578570275
"212450_at",-0.441012328159642,8.51310645390071,-2.20752226913825,0.0289174150090182,0.0471430876754203,-5.00813671005172
"227747_at",0.615088558758319,6.3521865248227,2.20688404737133,0.0289630062260165,0.0472148368343678,-5.00950240625852
"206352_s_at",-0.54037372505543,5.42350929078014,-2.20674944968164,0.0289726291611428,0.047227946683991,-5.00979037757207
"208669_s_at",0.588211973392459,10.3732065248227,2.20643342128583,0.0289952342483833,0.047262216003817,-5.01046645494072
"216568_x_at",-0.524022416851439,5.09601659574468,-2.20632594492478,0.0290029253843085,0.0472721731779489,-5.01069635781367
"213318_s_at",0.345880975609756,10.4432980141844,2.20624343233827,0.0290088312873128,0.0472792196544218,-5.01087285354952
"234988_at",0.342923725055434,3.93849836879433,2.20593213565797,0.0290311220123053,0.0473129682418764,-5.01153866671245
"223640_at",0.62876410199557,6.2795129787234,2.20570781229307,0.029047194159007,0.0473365790798111,-5.01201840375527
"1552542_s_at",0.575051640798226,2.45045007092199,2.20565216709589,0.0290511821810831,0.0473398564578554,-5.01213739931003
"230363_s_at",0.452296651884701,2.89320042553191,2.20563552952654,0.0290523746674878,0.0473398564578554,-5.01217297770055
"202698_x_at",-0.320802439024392,12.2325723404255,-2.20507342111451,0.0290926884353007,0.0474029607083964,-5.01337486401391
"210095_s_at",-0.847073725055429,10.1706590070922,-2.20497554800361,0.0290997127542657,0.0474118199677217,-5.013584104692
"218255_s_at",-0.258121396895786,6.65698808510638,-2.20439242263059,0.029141594047897,0.0474774672225582,-5.01483057559749
