"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"227349_at",1.37471643015521,6.62539319148936,4.32164994556724,2.93144798707637e-05,8.09494783859609e-05,1.37997619007033
"221123_x_at",-1.47351611973393,7.62771588652482,-4.31941353476801,2.95774481877803e-05,8.16303685988138e-05,1.37143128003647
"203928_x_at",-2.0738010421286,5.11718035460993,-4.31827461903913,2.97122370245447e-05,8.19872211928898e-05,1.36708099052486
"233073_at",-1.50381050997783,4.89171475177305,-4.31765578162898,2.97857226551843e-05,8.21748146359734e-05,1.36471759864174
"220624_s_at",2.61260800443459,3.3227780141844,4.31700605717261,2.98630639323458e-05,8.23805807416166e-05,1.36223652448141
"235919_at",1.47975702882483,6.84965375886525,4.31613691847972,2.99668253262738e-05,8.2628666510225e-05,1.35891802805877
"211661_x_at",1.35298736141907,5.93788517730496,4.31517756257331,3.00817593376785e-05,8.29226166553908e-05,1.35525566105283
"224589_at",2.53405141906873,10.1706692907801,4.31477632290701,3.01299546603039e-05,8.30478073046002e-05,1.35372410199328
"213909_at",2.5858312638581,10.0913468794326,4.31474077449876,3.01342281696321e-05,8.30519234349497e-05,1.35358841654306
"214442_s_at",1.30905833702882,4.56880255319149,4.31428023223781,3.01896456634848e-05,8.31739633777811e-05,1.35183064040648
"1564378_a_at",1.4170122172949,2.67807432624113,4.31294063002832,3.03513983721488e-05,8.35964709174998e-05,1.34671852315082
"227692_at",-1.97091738359202,6.88529035460993,-4.31285844278758,3.0361349276829e-05,8.36123231692922e-05,1.34640492409817
"229468_at",-1.02812997782705,7.28674929078014,-4.31231566106822,3.04271458645154e-05,8.37819272200819e-05,1.34433396488959
"241816_at",1.04090090909091,6.59407418439716,4.31179079419979,3.04909010387777e-05,8.39420041223304e-05,1.34233154813804
"215191_at",1.13343430155211,7.16310042553191,4.31156254665342,3.05186661084092e-05,8.40029588737222e-05,1.34146082018515
"204591_at",-1.71092201773836,3.05869070921986,-4.3098582904338,3.07267485774208e-05,8.45445482410694e-05,1.33496046671213
"212730_at",-2.6627601330377,8.18654595744681,-4.30944959437995,3.07768508414004e-05,8.46590115271782e-05,1.33340191475831
"211633_x_at",2.53943614190688,4.55081035460993,4.30684068932629,3.10985319307247e-05,8.5488768231024e-05,1.32345558112377
"206653_at",1.14775514412417,3.65474191489362,4.30641523095655,3.11512967655068e-05,8.56259374563843e-05,1.32183397629354
"209443_at",-2.54372629711752,4.49122028368794,-4.30565438608318,3.12458702758975e-05,8.58472918826013e-05,1.31893437425094
"1554250_s_at",-1.16526485587583,7.26359794326241,-4.3056517717306,3.12461957165174e-05,8.58472918826013e-05,1.31892441155135
"204190_at",1.08874594235033,8.50545269503546,4.30532657928132,3.12867018173315e-05,8.59506753162721e-05,1.31768521355232
"204118_at",2.41875368070954,7.13267964539007,4.30489728471354,3.13402521580602e-05,8.60819559321195e-05,1.31604942719858
"212143_s_at",2.0079422172949,7.69588368794326,4.30451243657201,3.13883330576987e-05,8.61981681772968e-05,1.31458310565098
"204629_at",1.27243784922395,2.42266290780142,4.30430612183287,3.14141380956611e-05,8.62570609455114e-05,1.31379706084802
"213227_at",-1.04937911308204,9.33694326241135,-4.30429481196512,3.14155532784509e-05,8.62570609455114e-05,1.31375397187072
"229163_at",-1.40336722838137,6.68281666666667,-4.30380131679818,3.14773630720058e-05,8.64031455791173e-05,1.31187391013383
"215558_at",1.2884189578714,6.1669214893617,4.30380073836587,3.14774355885761e-05,8.64031455791173e-05,1.31187170658484
"209515_s_at",1.13039008869179,8.96212269503546,4.30256598843402,3.16325992814425e-05,8.67891842702545e-05,1.30716841871723
"231728_at",2.44681600886918,3.95576836879433,4.30067297334443,3.1871910439339e-05,8.74136596175518e-05,1.29995973421147
"213367_at",-1.1509000443459,5.89088163120567,-4.29918213907035,3.20616015545745e-05,8.79143547250584e-05,1.29428427828543
"221728_x_at",-1.78795687361419,11.7248729787234,-4.29916884618077,3.206329778494e-05,8.79143547250584e-05,1.2942336803581
"205429_s_at",1.12169645232816,2.86965964539007,4.29803490832723,3.2208310827417e-05,8.82876554732453e-05,1.28991791037918
"236327_at",1.06251609756098,7.75718666666667,4.29615877818747,3.24496227794574e-05,8.89328056230027e-05,1.28277926615817
"225599_s_at",1.47784223946785,7.08353666666667,4.29588124313932,3.24854670179613e-05,8.90147088816324e-05,1.28172345220916
"238856_s_at",1.09134800443459,5.33925106382979,4.29495727934369,3.26050730813077e-05,8.93218146716596e-05,1.27820883466068
"211071_s_at",1.77598913525499,7.01765021276596,4.29492311335489,3.2609503926928e-05,8.93218146716596e-05,1.27807888352709
"1558750_a_at",1.00350137472284,3.05274460992908,4.29226222080888,3.29563657042197e-05,9.02222793880274e-05,1.26796054545575
"214934_at",-1.06721503325942,6.5944624822695,-4.29116729815007,3.31001211958141e-05,9.05660304526977e-05,1.26379837402228
"221783_at",1.06234776053215,4.21033496453901,4.29059855113133,3.31750310022085e-05,9.07420860392602e-05,1.26163669480424
"225799_at",1.01001745011086,10.0178568794326,4.29058652693947,3.31766164670706e-05,9.07420860392602e-05,1.26159099592775
"1553962_s_at",1.88933962305987,5.20623042553192,4.28970248095831,3.32933829680751e-05,9.1053119967528e-05,1.25823137886988
"209356_x_at",-1.70727651884701,8.17780907801419,-4.28939978215123,3.33334546161337e-05,9.11460219448754e-05,1.25708116217799
"235747_at",-1.41132421286031,7.50764283687943,-4.28878031468208,3.34156048956052e-05,9.13622885819526e-05,1.25472745877759
"218498_s_at",1.45690809312639,6.57726943262411,4.28857582583765,3.34427657002609e-05,9.1428181546984e-05,1.25395054839617
"1569053_at",1.19847168514412,6.21548340425532,4.28809370544203,3.35068862599942e-05,9.15783360699732e-05,1.25211895022954
"203919_at",-1.53495374722838,6.01723468085106,-4.28680475073937,3.36788934868175e-05,9.2023194469194e-05,1.24722292439122
"240908_at",1.17435975609756,7.93265581560284,4.28666261537751,3.36979128462726e-05,9.20667413990034e-05,1.2466830997569
"204747_at",2.43972481152993,8.46358042553191,4.28590867303916,3.37989716150598e-05,9.23259582165949e-05,1.24381988488499
"231183_s_at",-1.5494800886918,7.08603531914894,-4.28460544297588,3.39743436879617e-05,9.27710757760952e-05,1.23887157261575
"213657_s_at",-1.40502337028825,5.39237177304965,-4.2841000452246,3.40425884690067e-05,9.2937849067343e-05,1.23695290770982
"232037_at",-1.06273425720621,5.43961070921986,-4.2840840373095,3.40447521957599e-05,9.2937849067343e-05,1.23689213895153
"208790_s_at",-1.83857509977827,6.98804085106383,-4.28283012515533,3.42146493778852e-05,9.33931122866927e-05,1.23213261623317
"212192_at",-1.17750323725056,10.9153075177305,-4.28267201180846,3.42361304377903e-05,9.34432091884978e-05,1.23153253506431
"227293_at",-1.00033467849224,4.67919617021277,-4.28228280287446,3.42890629973187e-05,9.357058362281e-05,1.23005545848497
"209656_s_at",-2.01121,8.72410843971631,-4.28183523660604,3.43500292932455e-05,9.37283910373697e-05,1.22835703862737
"1558775_s_at",1.03864126385809,3.98187361702128,4.28127182081965,3.44269242628765e-05,9.38953262580944e-05,1.22621918754742
"226439_s_at",-2.00749476718403,4.62991411347518,-4.27897499454379,3.47421083568053e-05,9.47117177352478e-05,1.21750623327699
"212609_s_at",-1.41002133037694,7.26102333333333,-4.27833139956233,3.48309219119321e-05,9.49278469368806e-05,1.21506541405534
"212899_at",1.14873254988914,8.41672624113475,4.27362585311051,3.54869223082082e-05,9.66363564369284e-05,1.19722828773864
